ApsimVersion = 7.8
factors = cultivar=Soy_normal;date=15-apr;initNCobs=SoilCobsNew40;Residue_SOM=SOMsoy;WTDepth=600
Title = Cobs-Soy;cultivar=Soy_normal;date=15-apr;initNCobs=SoilCobsNew40;Residue_SOM=SOMsoy;WTDepth=600
           Date           year  plant_density AnnualNlossTotal SeasonNlossTotal AnnualNlossProfile SeasonNlossProfilel AnnualNlossAir SeasonNlossAir AnnualNlossTile SeasonNlosstile     AnnualRain     SeasonRain  AnnualAvgTemp  SeasonAvgTemp     AnnualTile     SeasonTile    AnnualDrain    SeasonDrain AnnualNfertilizer AnnualNdeposition AnnualNetMiner SeasonNetMiner AnnualGrossMiner SeasonGrossMiner      AnnualGDD      SeasonGDD SeasonHeatDays      CropYield    CropBiomass       CropNupt       SowingSW    GrowthCycle      FlowerDAS FrostDaysSincePlanting FrostDaysSinceGrainFill   SowingNO3Sum    SowingSWSum  HarvestNO3Sum   HarvestSWSum FloweringNO3Sum FloweringSWSum         SowN30         SowN60         SowN90        SowN120        SowN150        SowN180         FloN30         FloN60         FloN90        FloN120        FloN150        FloN180         HarN30        HarvN60         HarN90        HarN120        HarN150        HarN180 AnnualIrrigation
   (dd/mm/yyyy)         (year)             ()               ()               ()                 ()                  ()             ()             ()              ()              ()           (mm)           (mm)             ()             ()           (mm)           (mm)           (mm)           (mm)                ()                ()        (kg/ha)        (kg/ha)          (kg/ha)          (kg/ha)             ()             ()             ()        (kg/ha)        (kg/ha)        (g/m^2)             ()          (day)         (days)                     ()                      ()        (kg/ha)           (mm)        (kg/ha)           (mm)         (kg/ha)           (mm)             ()             ()             ()             ()             ()             ()             ()             ()             ()             ()             ()             ()             ()             ()             ()             ()             ()             ()             (mm)
     11/11/1980           1980         35.000                ?                ?                  ?                   ?              ?              ?               ?               ?              ?              ?              ?              ?              ?              ?              ?              ?                 ?                 ?              ?              ?                ?                ?              ?              ?              ?              ?              ?              ?              ?              ?              ?                      ?                       ?              ?              ?              ?              ?               ?              ?              ?              ?              ?              ?              ?              ?              ?              ?              ?              ?              ?              ?              ?              ?              ?              ?              ?              ?                ?
     11/11/1981           1981         35.000           12.927            7.026             -0.829              -0.129          7.447          5.910           6.309           1.244        599.700        451.870         50.511         66.742        172.473         77.780       -252.798       -123.413             1.000             5.997          203.2          191.6            225.4            196.6       3119.040       2871.630         30.000         2473.6         4604.7          16.25              ?        171.000         71.000                  3.000                  11.000           36.4        735.577           78.6        738.083            85.5        769.150         14.989          8.499          8.884          3.376          0.211          0.000         37.415         19.520          8.882          1.749          0.080          0.000         44.185         20.029         12.795          1.001          0.039          0.000            0.000
     11/11/1982           1982         35.000           17.492            4.274             -0.838              -0.147          2.806          1.344          15.525           3.077        852.170        566.710         46.688         65.797        342.284         98.318       -278.122       -150.274             1.000             8.522          168.0          162.6            189.6            168.5       2883.870       2765.070         15.000         4229.5         7824.0          27.82              ?        174.000         77.000                  2.000                  12.000           24.7        743.891           34.8        720.672            15.3        723.192          4.229          5.086         11.237          3.565          0.222          0.000          3.874          0.695          0.247          1.422          0.084          0.000         22.159          6.628          3.865          1.031          0.030          0.000            0.000
     11/11/1983           1983         35.000           37.757           13.913             -0.837              -0.146          5.735          2.873          32.859          11.186       1205.960        678.670         50.282         67.929        635.381        320.089       -282.106       -147.952             1.000            12.060          155.0          143.1            179.1            149.4       3293.730       3079.530         64.000         2421.5         5480.1          17.19              ?        167.000         78.000                  6.000                   7.000           21.5        782.385           52.7        700.391            40.9        782.950          2.820          4.173         10.796          3.535          0.222          0.000          6.011          1.604          0.766          1.799          0.085          0.000         27.351         16.551          6.949          0.872          0.031          0.000            0.000
     11/11/1984           1984         35.000           21.877            8.166             -0.848              -0.153          2.492          1.372          20.233           6.947        971.040        612.890         47.181         66.065        415.676        169.234       -314.448       -171.233             1.000             9.710          108.4          106.0            134.0            113.5       3015.540       2899.080         33.000         3726.5         7259.9          23.82              ?        176.000         74.000                  0.000                  11.000           24.3        769.791           21.8        636.480            16.3        728.421          4.891          5.317         10.027          3.541          0.221          0.000          5.063          1.191          0.376          1.895          0.080          0.000         13.726          5.268          1.682          0.364          0.024          0.000            0.000
     11/11/1985           1985         35.000           11.231            0.016             -0.840              -0.152          2.526          0.168           9.545           0.000        652.530        324.100         49.175         68.528        214.489         29.844       -321.532       -167.943             1.000             6.525          132.2          123.2            158.8            128.6       3120.119       2945.880         33.000         3697.7         7511.6          25.17              ?        160.000         64.000                  0.000                   8.000           29.4        731.122           38.4        617.589            26.1        709.640          8.014          6.751         10.563          3.437          0.215          0.000          4.917          1.684          0.443          0.719          0.070          0.000         28.780          6.430          1.674          0.363          0.025          0.000            0.000
     11/11/1986           1986         35.000           22.780            5.721             -0.835              -0.137          4.711          2.409          18.904           3.449       1091.450        732.530         48.344         67.692        496.150        276.865       -253.610       -122.002             1.000            10.914          188.9          175.7            220.6            181.3       3262.950       2857.320         27.000         3907.4         7396.2          25.88              ?        161.000         68.000                  3.000                   8.000           29.9        750.968           32.6        790.047            38.5        733.353          7.655          6.891         11.256          3.565          0.224          0.000          7.502          2.579          1.246          1.777          0.093          0.000         14.449         10.826          5.318          0.638          0.042          0.000            0.000
     11/11/1987           1987         35.000           13.873            5.630             -0.840              -0.137          3.855          2.440          10.858           3.327        866.160        628.920         51.669         70.315        268.278        128.839       -278.424       -132.813             1.000             8.662          188.9          163.7            219.3            169.1       3446.911       2979.630         48.000         3445.6         7461.9          24.47              ?        147.000         57.000                  0.000                  14.000           32.6        773.025           43.8        750.719            34.7        729.678         10.984          8.167          9.480          3.421          0.214          0.000          4.555          1.730          0.535          1.978          0.083          0.000         19.324          9.962         12.697          0.601          0.036          0.000            0.000
     11/11/1988           1988         35.000           10.896            0.182             -0.848              -0.146          1.610          0.329          10.135           0.000        591.840        359.150         50.680         70.424        187.699          0.000       -329.427       -164.754             1.000             5.918          138.2          114.4            166.3            118.8       3582.810       3172.050         65.000         2756.0         6024.9          18.84              ?        154.000         64.000                  4.000                  18.000           30.0        729.265           37.2        645.793            21.6        703.668          8.682          6.807         10.380          3.422          0.209          0.000          6.175          2.581          0.584          0.558          0.067          0.000         23.177          6.816          5.514          0.393          0.025          0.000            0.000
     11/11/1989           1989         35.000           14.088            3.786             -0.820              -0.141          4.250          2.710          10.658           1.218        638.310        447.300         49.100         65.889        229.010         41.695       -283.509       -158.724             1.000             6.383          178.1          167.4            195.0            174.8       3103.650       2904.750         28.000         2216.6         4444.7          14.90              ?        180.000         70.000                  3.000                  18.000           29.2        729.112           74.0        715.563            68.9        729.509          8.517          6.562         10.121          3.369          0.210          0.000         30.319         17.521          9.245          1.775          0.081          0.000         41.098         21.359          9.562          1.352          0.025          0.000            0.000
