ApsimVersion = 7.8
factors = cultivar=Soy_normal;date=15-jun;initNCobs=SoilCobsNew19;Residue_SOM=SOMcorn;WTDepth=1800
Title = Cobs-Soy;cultivar=Soy_normal;date=15-jun;initNCobs=SoilCobsNew19;Residue_SOM=SOMcorn;WTDepth=1800
           Date           year  plant_density AnnualNlossTotal SeasonNlossTotal AnnualNlossProfile SeasonNlossProfilel AnnualNlossAir SeasonNlossAir AnnualNlossTile SeasonNlosstile     AnnualRain     SeasonRain  AnnualAvgTemp  SeasonAvgTemp     AnnualTile     SeasonTile    AnnualDrain    SeasonDrain AnnualNfertilizer AnnualNdeposition AnnualNetMiner SeasonNetMiner AnnualGrossMiner SeasonGrossMiner      AnnualGDD      SeasonGDD SeasonHeatDays      CropYield    CropBiomass       CropNupt       SowingSW    GrowthCycle      FlowerDAS FrostDaysSincePlanting FrostDaysSinceGrainFill   SowingNO3Sum    SowingSWSum  HarvestNO3Sum   HarvestSWSum FloweringNO3Sum FloweringSWSum         SowN30         SowN60         SowN90        SowN120        SowN150        SowN180         FloN30         FloN60         FloN90        FloN120        FloN150        FloN180         HarN30        HarvN60         HarN90        HarN120        HarN150        HarN180 AnnualIrrigation
   (dd/mm/yyyy)         (year)             ()               ()               ()                 ()                  ()             ()             ()              ()              ()           (mm)           (mm)             ()             ()           (mm)           (mm)           (mm)           (mm)                ()                ()        (kg/ha)        (kg/ha)          (kg/ha)          (kg/ha)             ()             ()             ()        (kg/ha)        (kg/ha)        (g/m^2)             ()          (day)         (days)                     ()                      ()        (kg/ha)           (mm)        (kg/ha)           (mm)         (kg/ha)           (mm)             ()             ()             ()             ()             ()             ()             ()             ()             ()             ()             ()             ()             ()             ()             ()             ()             ()             ()             (mm)
     11/11/1980           1980         35.000                ?                ?                  ?                   ?              ?              ?               ?               ?              ?              ?              ?              ?              ?              ?              ?              ?                 ?                 ?              ?              ?                ?                ?              ?              ?              ?              ?              ?              ?              ?              ?              ?                      ?                       ?              ?              ?              ?              ?               ?              ?              ?              ?              ?              ?              ?              ?              ?              ?              ?              ?              ?              ?              ?              ?              ?              ?              ?              ?                ?
     11/11/1981           1981         35.000            2.629            2.090              0.442               0.171          2.187          1.919           0.000           0.000        599.700        405.130         50.511         66.104          0.000          0.000          9.018          4.888             1.000             5.997          152.2          132.5            201.5            149.1       3119.040       2186.100         23.000         2470.6         4611.1          17.57              ?        132.000         39.000                  0.000                  11.000           42.3        695.166           41.1        684.153            61.5        670.762          9.948         13.067         13.778          4.079          0.442          0.000         11.047         12.430         15.672          4.239          0.386          0.000         22.624          9.036          6.832          2.097          0.372          0.000            0.000
     11/11/1982           1982         35.000            7.712            1.284              3.803               0.364          1.574          0.920           2.334           0.000        852.170        384.820         46.688         64.707         54.851          0.000        147.224          3.237             1.000             8.522          128.4          119.2            173.0            134.2       2883.870       2188.080         14.000         2571.6         4910.8          18.38              ?        143.000         41.000                  0.000                  12.000           27.0        752.639           29.4        696.427            33.5        734.704          4.653          4.967          9.984          5.671          1.116          0.000          4.258          1.567          1.110          4.648          1.063          0.000         14.694          6.976          4.337          2.496          0.751          0.000            0.000
     11/11/1983           1983         35.000           16.334            6.987              4.497               0.442          2.254          1.627           9.584           4.917       1205.960        650.220         50.282         67.860        226.251         99.529        181.425          9.576             1.000            12.060          131.7          122.2            176.8            146.0       3293.730       2714.220         64.000         2558.3         4747.5          16.84              ?        147.000         38.000                  0.000                   7.000           25.5        740.236           36.0        746.257            25.3        701.638          6.311          4.661          7.588          5.135          1.121          0.000          3.686          1.542          0.735          4.742          1.062          0.000         10.280          9.107         12.287          3.287          0.761          0.000            0.000
     11/11/1984           1984         35.000           10.175            2.661              3.543               0.207          1.145          0.409           5.487           2.045        971.040        337.030         47.181         66.466        138.400         48.092        143.892         -3.094             1.000             9.710           89.6           83.6            134.4             96.3       3015.540       2373.840         33.000         2617.4         4822.6          17.33              ?        139.000         39.000                  0.000                  11.000           24.4        799.084           22.2        626.452            19.7        681.096          2.859          5.045          9.506          5.277          1.034          0.000          3.448          1.474          0.511          3.942          0.980          0.000          9.335          6.432          3.050          2.490          0.666          0.000            0.000
     11/11/1985           1985         35.000            2.355            0.201              1.369              -0.452          0.986          0.652           0.000           0.000        652.530        406.660         49.175         64.320          0.000          0.000         35.642        -41.121             1.000             6.525          126.3          107.5            171.6            122.3       3120.119       2160.720         28.000         2556.0         4707.1          17.78              ?        144.000         41.000                  0.000                   8.000           41.3        687.497           28.0        716.073            39.0        655.271         10.078         11.485         13.340          4.773          0.855          0.000          3.133          3.219          0.566          2.605          0.655          0.000         11.089          6.634          7.402          2.152          0.532          0.000            0.000
     11/11/1986           1986         35.000           11.191            5.257              4.267               1.602          3.408          2.790           3.515           0.865       1091.450        642.620         48.344         65.698        113.490         50.541        203.922         80.963             1.000            10.914          155.5          143.6            201.6            153.1       3262.950       2347.650         27.000         2856.3         5234.6          19.18              ?        144.000         37.000                  0.000                   8.000           30.9        734.277           33.6        756.157            43.8        730.142          6.715          6.206         10.845          5.297          0.988          0.000          7.665          4.962          4.079          5.323          0.994          0.000         11.538          9.277          9.849          2.018          0.814          0.000            0.000
     11/11/1987           1987         35.000            8.953            7.107              2.176               0.851          3.097          2.576           3.680           3.680        866.160        555.520         51.669         68.553         68.951         68.951        103.445         44.410             1.000             8.662          164.5          135.4            215.0            148.7       3446.911       2253.780         31.000         2705.9         5081.0          18.77              ?        120.000         39.000                  0.000                  14.000           45.8        705.574           31.5        687.222            62.6        721.040         11.647         11.167         15.422          4.783          0.747          0.000         11.924         11.673         10.437          4.998          0.719          0.000         16.989          6.033          5.048          2.437          0.726          0.000            0.000
     11/11/1988           1988         35.000            2.765            0.582              1.393              -0.431          1.371          1.013           0.000           0.000        591.840        356.870         50.680         68.796          0.000          0.000         32.082        -40.400             1.000             5.918          150.5          123.0            195.8            140.2       3582.810       2584.169         52.000         2478.8         4642.9          16.71              ?        134.000         39.000                  0.000                  18.000           47.1        675.435           35.6        644.147            63.2        696.945         12.923         12.553         14.419          4.911          0.780          0.000         10.336          8.882          5.684          4.340          0.595          0.000         18.015          8.223          6.280          2.199          0.544          0.000            0.000
     11/11/1989           1989         35.000            2.732            0.355              1.622              -0.127          1.110          0.482           0.000           0.000        638.310        276.110         49.100         66.726          0.000          0.000         59.248        -17.292             1.000             6.383          120.8          102.6            167.7            115.3       3103.650       2222.551         24.000         2612.3         4849.1          18.59              ?        129.000         41.000                  0.000                  18.000           34.5        710.047           22.0        610.018            44.4        697.761          5.951          8.342         13.556          5.020          0.805          0.000          5.696          3.565          1.341          3.553          0.724          0.000         11.460          4.120          3.235          2.239          0.645          0.000            0.000
     11/11/1990           1990         35.000           13.015            4.924              3.081               1.263          1.940          1.489           7.994           2.173        998.533        499.470         49.689         68.039        166.309         40.729        120.525         45.224             1.000             9.985          153.1          143.8            200.2            158.4       3276.134       2519.522         40.000         2458.6         4925.7          16.28              ?        136.000         39.000                  0.000                  14.000           25.0        731.750           38.7        656.069            32.7        743.146          3.636          4.321          9.956          5.550          0.944          0.000          3.740          1.186          0.719          5.772          1.073          0.000         20.615          8.010          5.678          3.346          0.698          0.000            0.000
