ApsimVersion = 7.8
factors = cultivar=Soy_normal;date=15-may;initNCobs=SoilCobsNew40;Residue_SOM=SOMsoy;WTDepth=1200
Title = Cobs-Soy;cultivar=Soy_normal;date=15-may;initNCobs=SoilCobsNew40;Residue_SOM=SOMsoy;WTDepth=1200
           Date           year  plant_density AnnualNlossTotal SeasonNlossTotal AnnualNlossProfile SeasonNlossProfilel AnnualNlossAir SeasonNlossAir AnnualNlossTile SeasonNlosstile     AnnualRain     SeasonRain  AnnualAvgTemp  SeasonAvgTemp     AnnualTile     SeasonTile    AnnualDrain    SeasonDrain AnnualNfertilizer AnnualNdeposition AnnualNetMiner SeasonNetMiner AnnualGrossMiner SeasonGrossMiner      AnnualGDD      SeasonGDD SeasonHeatDays      CropYield    CropBiomass       CropNupt       SowingSW    GrowthCycle      FlowerDAS FrostDaysSincePlanting FrostDaysSinceGrainFill   SowingNO3Sum    SowingSWSum  HarvestNO3Sum   HarvestSWSum FloweringNO3Sum FloweringSWSum         SowN30         SowN60         SowN90        SowN120        SowN150        SowN180         FloN30         FloN60         FloN90        FloN120        FloN150        FloN180         HarN30        HarvN60         HarN90        HarN120        HarN150        HarN180 AnnualIrrigation
   (dd/mm/yyyy)         (year)             ()               ()               ()                 ()                  ()             ()             ()              ()              ()           (mm)           (mm)             ()             ()           (mm)           (mm)           (mm)           (mm)                ()                ()        (kg/ha)        (kg/ha)          (kg/ha)          (kg/ha)             ()             ()             ()        (kg/ha)        (kg/ha)        (g/m^2)             ()          (day)         (days)                     ()                      ()        (kg/ha)           (mm)        (kg/ha)           (mm)         (kg/ha)           (mm)             ()             ()             ()             ()             ()             ()             ()             ()             ()             ()             ()             ()             ()             ()             ()             ()             ()             ()             (mm)
     11/11/1980           1980         35.000                ?                ?                  ?                   ?              ?              ?               ?               ?              ?              ?              ?              ?              ?              ?              ?              ?                 ?                 ?              ?              ?                ?                ?              ?              ?              ?              ?              ?              ?              ?              ?              ?                      ?                       ?              ?              ?              ?              ?               ?              ?              ?              ?              ?              ?              ?              ?              ?              ?              ?              ?              ?              ?              ?              ?              ?              ?              ?              ?                ?
     11/11/1981           1981         35.000            0.956            0.782             -0.493              -0.252          1.449          1.035           0.000           0.000        599.700        463.040         50.511         66.444          0.000          0.000       -122.775        -83.359             1.000             5.997          202.3          185.6            218.0            188.3       3119.040       2740.320         29.000         3870.8         7152.9          25.75              ?        163.000         52.000                  0.000                  11.000           56.1        697.176           43.1        701.322            55.2        716.430         24.089         12.679         12.967          5.069          0.489          0.000         10.695          5.968          1.441          1.941          0.280          0.000         28.128          7.834          5.814          1.036          0.114          0.000            0.000
     11/11/1982           1982         35.000            9.069            3.413              0.553              -0.334          2.658          1.799           5.858           1.948        852.170        523.510         46.688         64.393         92.918         30.782        -38.251        -59.145             1.000             8.522          178.1          169.9            189.3            172.0       2883.870       2589.660         14.000         4030.7         7425.8          26.90              ?        174.000         59.000                  0.000                  12.000           40.4        760.470           40.2        707.790            29.6        748.822         11.301          7.919         13.914          5.563          1.024          0.000          5.436          0.912          0.335          4.429          0.822          0.000         22.600          9.866          5.551          1.800          0.249          0.000            0.000
     11/11/1983           1983         35.000           26.534           11.565              0.738              -0.255          5.058          2.346          20.738           9.475       1205.960        632.700         50.282         71.233        306.651        152.635        -32.763        -48.765             1.000            12.060          150.5          137.8            172.7            142.2       3293.730       3034.440         65.000         2651.4         5939.2          18.74              ?        143.000         55.000                  0.000                   7.000           32.5        743.618           51.1        663.164            29.9        746.940          7.015          5.481         12.771          5.672          1.042          0.000          5.196          1.806          0.704          3.836          0.817          0.000         28.263         14.106          5.286          2.150          0.322          0.000            0.000
     11/11/1984           1984         35.000           14.621            5.381              0.509              -0.434          2.826          1.655          11.286           4.160        971.040        563.870         47.181         66.870        171.101         61.550        -84.147        -98.695             1.000             9.710          128.7          122.5            143.5            129.4       3015.540       2878.470         33.000         3523.3         6587.1          21.64              ?        167.000         52.000                  0.000                  11.000           34.3        729.774           29.7        665.187            31.1        705.261          7.170          6.270         13.437          5.608          1.037          0.000          4.571          1.522          0.496          2.416          0.755          0.000         13.422          9.906          3.964          1.848          0.180          0.000            0.000
     11/11/1985           1985         35.000            3.282            0.750             -0.044              -0.537          1.932          1.287           1.394           0.000        652.530        460.000         49.175         64.681         24.939          0.000       -130.820       -136.051             1.000             6.525          157.0          139.2            167.7            140.9       3120.119       2644.380         31.000         3441.3         6786.5          23.20              ?        174.000         55.000                  0.000                   8.000           52.4        702.351           43.3        713.875            38.7        654.509         20.686         10.901         14.144          4.993          0.840          0.000          7.126          4.294          0.637          1.999          0.389          0.000         17.260         12.637         11.426          1.622          0.115          0.000            0.000
     11/11/1986           1986         35.000           14.701            9.712              0.892               0.049          5.711          4.257           8.097           5.406       1091.450        739.140         48.344         65.694        179.408        130.703         13.035        -11.288             1.000            10.914          209.9          196.3            220.0            197.6       3262.950       2807.460         28.000         3836.2         7192.2          25.93              ?        174.000         53.000                  0.000                   8.000           46.0        785.518           47.2        758.291            50.8        780.188         12.190         11.180         15.738          5.386          1.015          0.000          8.980          3.279          4.030          4.676          0.863          0.000         15.440         13.500         15.524          2.196          0.479          0.000            0.000
     11/11/1987           1987         35.000            5.274            4.224              0.104              -0.165          4.293          3.512           0.877           0.877        866.160        650.760         51.669         68.907         42.193         42.193        -32.605        -31.182             1.000             8.662          218.4          193.9            236.6            198.1       3446.911       2881.980         41.000         3808.7         6984.1          24.93              ?        151.000         48.000                  0.000                  14.000           58.1        707.051           46.0        724.474            73.8        706.811         24.748         12.506         13.808          4.756          0.750          0.000         18.182         12.881          9.307          4.137          0.511          0.000         29.074          8.826          6.233          1.241          0.328          0.000            0.000
     11/11/1988           1988         35.000            4.505            0.483              0.021              -0.461          1.786          0.944           2.698           0.000        591.840        400.550         50.680         72.713         41.846          0.000       -135.688       -112.749             1.000             5.918          172.9          142.3            186.9            145.3       3582.810       3134.430         65.000         2944.7         5769.7          19.63              ?        139.000         48.000                  0.000                  18.000           50.2        699.236           42.0        694.408            61.2        652.983         18.068         10.142         14.285          5.378          0.764          0.000          9.861          7.611          1.591          2.216          0.385          0.000         22.480         10.449          6.090          1.751          0.143          0.000            0.000
     11/11/1989           1989         35.000            3.350            0.654              0.177              -0.476          2.064          1.130           1.109           0.000        638.310        397.520         49.100         66.669         18.896          0.000       -108.163       -104.745             1.000             6.383          144.0          129.3            159.0            132.5       3103.650       2715.301         26.000         3750.2         6856.4          24.65              ?        159.000         53.000                  0.000                  18.000           46.1        708.569           28.4        615.588            39.4        683.406         16.285          9.812         13.183          4.979          0.878          0.000          6.014          2.328          0.511          1.785          0.527          0.000         17.694          5.921          2.685          1.766          0.162          0.000            0.000
