ApsimVersion = 7.8
factors = cultivar=Soy_short;date=1-jun;initNCobs=SoilCobsNew40;Residue_SOM=SOMsoy;WTDepth=600
Title = Cobs-Soy;cultivar=Soy_short;date=1-jun;initNCobs=SoilCobsNew40;Residue_SOM=SOMsoy;WTDepth=600
           Date           year  plant_density AnnualNlossTotal SeasonNlossTotal AnnualNlossProfile SeasonNlossProfilel AnnualNlossAir SeasonNlossAir AnnualNlossTile SeasonNlosstile     AnnualRain     SeasonRain  AnnualAvgTemp  SeasonAvgTemp     AnnualTile     SeasonTile    AnnualDrain    SeasonDrain AnnualNfertilizer AnnualNdeposition AnnualNetMiner SeasonNetMiner AnnualGrossMiner SeasonGrossMiner      AnnualGDD      SeasonGDD SeasonHeatDays      CropYield    CropBiomass       CropNupt       SowingSW    GrowthCycle      FlowerDAS FrostDaysSincePlanting FrostDaysSinceGrainFill   SowingNO3Sum    SowingSWSum  HarvestNO3Sum   HarvestSWSum FloweringNO3Sum FloweringSWSum         SowN30         SowN60         SowN90        SowN120        SowN150        SowN180         FloN30         FloN60         FloN90        FloN120        FloN150        FloN180         HarN30        HarvN60         HarN90        HarN120        HarN150        HarN180 AnnualIrrigation
   (dd/mm/yyyy)         (year)             ()               ()               ()                 ()                  ()             ()             ()              ()              ()           (mm)           (mm)             ()             ()           (mm)           (mm)           (mm)           (mm)                ()                ()        (kg/ha)        (kg/ha)          (kg/ha)          (kg/ha)             ()             ()             ()        (kg/ha)        (kg/ha)        (g/m^2)             ()          (day)         (days)                     ()                      ()        (kg/ha)           (mm)        (kg/ha)           (mm)         (kg/ha)           (mm)             ()             ()             ()             ()             ()             ()             ()             ()             ()             ()             ()             ()             ()             ()             ()             ()             ()             ()             (mm)
     11/11/1980           1980         35.000                ?                ?                  ?                   ?              ?              ?               ?               ?              ?              ?              ?              ?              ?              ?              ?              ?                 ?                 ?              ?              ?                ?                ?              ?              ?              ?              ?              ?              ?              ?              ?              ?                      ?                       ?              ?              ?              ?              ?               ?              ?              ?              ?              ?              ?              ?              ?              ?              ?              ?              ?              ?              ?              ?              ?              ?              ?              ?              ?                ?
     11/11/1981           1981         35.000           11.500            6.183             -0.830              -0.073          6.733          5.555           5.597           0.701        599.700        445.510         50.511         66.801        158.000         63.307       -254.703       -105.696             1.000             5.997          209.0          179.6            224.8            181.6       3119.040       2512.530         29.000         2843.0         5832.3          19.52              ?        146.000         43.000                  0.000                  11.000           60.6        724.996           58.5        748.963            79.2        721.099         35.013         11.910          9.422          2.492          0.131          0.000         20.818         21.159          7.597          1.505          0.066          0.000         35.358         15.053          7.189          0.761          0.031          0.000            0.000
     11/11/1982           1982         35.000           20.433            4.692             -0.835              -0.092          3.985          2.336          17.283           2.447        852.170        437.900         46.688         64.621        371.525         60.639       -271.667       -136.633             1.000             8.522          176.2          157.8            189.1            159.8       2883.870       2380.590         14.000         3352.2         6043.1          21.60              ?        157.000         49.000                  0.000                  12.000           38.5        746.897           36.5        763.328            48.8        785.528         12.043          9.643         13.305          2.714          0.145          0.000         10.234          3.435          3.299          1.723          0.075          0.000         20.599          9.965          4.849          0.992          0.024          0.000            0.000
     11/11/1983           1983         35.000           40.676           11.590             -0.837              -0.092          6.253          3.145          35.260           8.537       1205.960        547.350         50.282         72.882        640.000        240.637       -286.104       -129.927             1.000            12.060          169.2          151.5            191.1            154.3       3293.730       2902.500         65.000         1925.4         5265.7          14.57              ?        127.000         44.000                  0.000                   7.000           29.4        734.469           60.8        733.003            37.3        721.747          8.919          6.354         10.511          2.703          0.145          0.000          6.940          2.777          1.215          1.923          0.074          0.000         29.291         18.980         10.763          0.919          0.026          0.000            0.000
     11/11/1984           1984         35.000           22.710            5.476             -0.845              -0.099          3.238          1.718          20.317           3.857        971.040        454.130         47.181         66.859        410.377         77.911       -304.489       -163.121             1.000             9.710          141.3          127.1            154.5            130.5       3015.540       2664.090         33.000         2612.4         5890.0          17.69              ?        153.000         43.000                  0.000                  11.000           34.7        757.000           42.0        722.861            44.7        719.287         10.172          9.219         11.860          2.699          0.144          0.000          7.703          2.294          0.664          1.703          0.072          0.000         18.609         14.558          8.030          0.571          0.018          0.000            0.000
     11/11/1985           1985         35.000           11.243            2.567             -0.828              -0.087          2.759          2.087           9.312           0.566        652.530        448.560         49.175         64.437        223.720         39.071       -282.587       -143.545             1.000             6.525          183.2          149.0            194.1            150.6       3120.119       2379.600         31.000         3040.9         6051.6          20.47              ?        158.000         48.000                  0.000                   8.000           61.7        724.889           37.2        751.324            65.8        690.841         33.788         12.206         11.473          2.538          0.133          0.000         16.363          5.590          0.649          1.537          0.060          0.000         15.554         11.258          9.875          0.326          0.020          0.000            0.000
     11/11/1986           1986         35.000           28.365           13.627             -0.830              -0.083          7.234          5.489          21.961           8.221       1091.450        696.220         48.344         66.027        534.028        240.790       -247.407       -113.002             1.000            10.914          211.3          187.9            221.6            188.5       3262.950       2619.090         28.000         3204.2         5942.6          21.01              ?        158.000         43.000                  0.000                   8.000           44.7        738.570           47.2        756.675            66.5        772.770         15.968         10.741         14.038          2.698          0.145          0.000         15.460         10.768          9.609          1.789          0.078          0.000         14.885         13.768         17.596          0.867          0.031          0.000            0.000
     11/11/1987           1987         35.000           21.915           13.222             -0.829              -0.073          7.102          5.306          15.642           7.988        866.160        571.010         51.669         69.097        337.952        182.826       -253.843        -99.616             1.000             8.662          219.2          179.1            237.3            180.6       3446.911       2585.880         39.000         2807.8         5641.6          18.81              ?        134.000         42.000                  0.000                  14.000           64.0        771.814           57.0        734.532            88.9        801.998         29.196         18.693         12.320          2.527          0.135          0.000         22.662         14.196         11.824          1.640          0.071          0.000         32.086         12.111         11.262          1.263          0.034          0.000            0.000
     11/11/1988           1988         35.000           12.355            2.308             -0.839              -0.084          3.042          2.393          10.151           0.000        591.840        383.530         50.680         69.239        187.699          0.000       -297.241       -146.660             1.000             5.918          205.6          167.3            216.9            169.4       3582.810       2883.690         60.000         2497.7         5373.6          16.95              ?        147.000         43.000                  0.000                  18.000           61.5        726.223           65.1        729.187            81.4        690.162         33.927         11.790         11.028          2.509          0.128          0.000         19.039         10.336          3.549          1.680          0.061          0.000         35.010         18.044         11.095          0.708          0.019          0.000            0.000
     11/11/1989           1989         35.000           12.608            1.756             -0.819              -0.084          2.962          1.468          10.465           0.372        638.310        305.830         49.100         66.587        219.342          7.692       -293.460       -137.956             1.000             6.383          169.2          141.2            184.0            142.7       3103.650       2436.931         24.000         3058.6         5911.9          20.41              ?        143.000         46.000                  0.000                  18.000           49.5        744.544           30.7        691.427            65.6        713.179         20.664         12.904         12.372          2.497          0.131          0.000         18.295          8.202          4.008          1.478          0.065          0.000         18.262          6.963          4.566          0.576          0.021          0.000            0.000
     11/11/1990           1990         35.000           27.958           12.056             -0.826              -0.074          7.173          4.795          21.611           7.336        998.533        536.044         49.689         70.062        428.452        130.163       -247.257        -96.868             1.000             9.985          215.2          194.3            231.2            195.5       3276.134       2757.924         42.000         1855.1         5066.3          14.14              ?        137.000         44.000                  0.000                  14.000           36.9        741.573           87.9        745.613            63.9        785.385          9.462          8.506         15.257          2.649          0.141          0.000         15.342         10.647         12.792          1.796          0.076          0.000         52.537         19.970         13.843          1.129          0.036          0.000            0.000
     11/11/1991           1991         35.000           22.579            2.073             -0.839              -0.095          3.298          1.329          20.120           0.839        821.349        219.060         50.164         68.617        400.501         20.494       -303.120       -149.432             1.000             8.213          170.9          132.8            187.6            133.7       3619.281       2711.462         46.000         2432.9         5815.5          17.20              ?        142.000         41.000                  0.000                  20.000           52.1        738.217           38.4        654.010            78.0        710.419         26.076          8.825         12.515          2.690          0.143          0.000         25.196          6.177          1.400          1.921          0.070          0.000         24.041          7.197          6.333          0.530          0.020          0.000            0.000
     11/11/1992           1992         35.000           30.885           15.338             -0.820              -0.075          4.485          3.172          27.220          12.241        879.812        475.944         49.338         63.461        510.296        220.610       -247.001       -105.255             1.000             8.798          184.4          160.2            198.0            162.9       2533.040       2070.020         10.000         3143.6         5785.8          21.69              ?        149.000         48.000                  0.000                  14.000           43.9        727.952           27.2        743.601            56.8        772.292         19.546          8.696         11.677          2.578          0.137          0.000          9.359          5.105         10.713          1.639          0.066          0.000         18.226          4.461          3.175          0.935          0.032          0.000            0.000
