ApsimVersion = 7.8
factors = cultivar=Soy_short;date=15-apr;initNCobs=SoilCobsNew10;Residue_SOM=SOMcorn;WTDepth=1800
Title = Cobs-Soy;cultivar=Soy_short;date=15-apr;initNCobs=SoilCobsNew10;Residue_SOM=SOMcorn;WTDepth=1800
           Date           year  plant_density AnnualNlossTotal SeasonNlossTotal AnnualNlossProfile SeasonNlossProfilel AnnualNlossAir SeasonNlossAir AnnualNlossTile SeasonNlosstile     AnnualRain     SeasonRain  AnnualAvgTemp  SeasonAvgTemp     AnnualTile     SeasonTile    AnnualDrain    SeasonDrain AnnualNfertilizer AnnualNdeposition AnnualNetMiner SeasonNetMiner AnnualGrossMiner SeasonGrossMiner      AnnualGDD      SeasonGDD SeasonHeatDays      CropYield    CropBiomass       CropNupt       SowingSW    GrowthCycle      FlowerDAS FrostDaysSincePlanting FrostDaysSinceGrainFill   SowingNO3Sum    SowingSWSum  HarvestNO3Sum   HarvestSWSum FloweringNO3Sum FloweringSWSum         SowN30         SowN60         SowN90        SowN120        SowN150        SowN180         FloN30         FloN60         FloN90        FloN120        FloN150        FloN180         HarN30        HarvN60         HarN90        HarN120        HarN150        HarN180 AnnualIrrigation
   (dd/mm/yyyy)         (year)             ()               ()               ()                 ()                  ()             ()             ()              ()              ()           (mm)           (mm)             ()             ()           (mm)           (mm)           (mm)           (mm)                ()                ()        (kg/ha)        (kg/ha)          (kg/ha)          (kg/ha)             ()             ()             ()        (kg/ha)        (kg/ha)        (g/m^2)             ()          (day)         (days)                     ()                      ()        (kg/ha)           (mm)        (kg/ha)           (mm)         (kg/ha)           (mm)             ()             ()             ()             ()             ()             ()             ()             ()             ()             ()             ()             ()             ()             ()             ()             ()             ()             ()             (mm)
     11/11/1980           1980         35.000                ?                ?                  ?                   ?              ?              ?               ?               ?              ?              ?              ?              ?              ?              ?              ?              ?                 ?                 ?              ?              ?                ?                ?              ?              ?              ?              ?              ?              ?              ?              ?              ?                      ?                       ?              ?              ?              ?              ?               ?              ?              ?              ?              ?              ?              ?              ?              ?              ?              ?              ?              ?              ?              ?              ?              ?              ?              ?              ?                ?
     11/11/1981           1981         35.000            2.263            1.560              0.198              -0.032          2.065          1.592           0.000           0.000        599.700        451.870         50.511         66.946          0.000          0.000         -7.638        -20.405             1.000             5.997          139.2          128.7            199.0            162.1       3119.040       2815.470         28.000         1900.9         4379.4          13.38              ?        166.000         71.000                  3.000                  11.000           18.4        706.282           53.9        721.524            37.6        714.048          2.753          5.314          6.498          3.122          0.283          0.000          9.304          7.783          4.700          1.675          0.262          0.000         29.880         11.974          9.204          1.604          0.376          0.000            0.000
     11/11/1982           1982         35.000            5.081            2.627              2.111               0.743          1.264          0.624           1.707           1.260        852.170        562.390         46.688         65.802         55.332         39.633        110.990         36.156             1.000             8.522          115.1          111.5            171.6            149.6       2883.870       2750.040         15.000         3016.1         6935.9          21.06              ?        173.000         77.000                  2.000                  12.000           14.1        753.524           42.7        659.629             6.0        699.622          1.295          2.306          6.023          3.779          0.704          0.000          2.345          0.669          0.334          1.550          0.711          0.000         22.856         10.153          6.305          1.888          0.583          0.000            0.000
     11/11/1983           1983         35.000           11.085            5.291              2.938               1.076          2.972          0.872           5.175           3.344       1205.960        633.210         50.282         68.502        226.844        150.751        170.766         63.089             1.000            12.060           96.0           82.3            158.6            119.9       3293.730       2951.730         64.000         2005.9         5616.4          15.59              ?        156.000         78.000                  6.000                   7.000           12.3        785.664           38.8        608.950            13.7        783.351          0.904          1.651          5.284          3.677          0.733          0.000          1.332          1.243          0.417          2.506          0.742          0.000         21.943          9.790          3.664          1.943          0.673          0.000            0.000
     11/11/1984           1984         35.000            6.755            4.459              2.154               0.934          0.862          0.261           3.739           3.263        971.040        557.270         47.181         67.139        145.214        125.918        126.812         55.008             1.000             9.710           62.0           61.3            125.7            100.3       3015.540       2836.710         33.000         2847.3         6997.3          19.71              ?        163.000         74.000                  0.000                  11.000           13.4        774.736           16.8        531.877             7.9        732.926          1.102          2.399          5.566          3.403          0.613          0.000          2.788          1.110          0.339          1.615          0.672          0.000          9.139          3.605          0.996          1.735          0.571          0.000            0.000
     11/11/1985           1985         35.000            2.051            0.010              0.858              -0.062          1.193          0.072           0.000           0.000        652.530        315.970         49.175         68.534          0.000          0.000         20.364        -19.724             1.000             6.525           74.4           67.7            138.2            106.0       3120.119       2891.340         31.000         2173.2         5633.2          13.26              ?        157.000         64.000                  0.000                   8.000           15.7        725.661           23.2        540.029             5.1        655.657          1.736          3.180          6.177          3.545          0.622          0.000          1.353          1.686          0.521          1.262          0.598          0.000         14.955          4.301          1.247          1.266          0.390          0.000            0.000
     11/11/1986           1986         35.000           11.359            3.433              2.378               0.823          3.396          1.298           5.585           1.311       1091.450        732.530         48.344         67.692        126.143        104.711        163.550         50.959             1.000            10.914          137.5          129.0            204.5            163.5       3262.950       2857.320         27.000         2796.7         6726.9          20.21              ?        161.000         68.000                  3.000                   8.000           15.4        758.728           48.6        781.120             7.5        711.046          2.065          3.326          5.892          3.201          0.571          0.000          2.897          0.635          0.292          1.299          0.624          0.000         17.620         16.676         10.933          1.642          0.497          0.000            0.000
     11/11/1987           1987         35.000            2.854            1.301              1.053               0.126          1.801          1.174           0.000           0.000        866.160        628.920         51.669         70.315          0.000          0.000         57.333         -1.789             1.000             8.662          132.2          111.9            196.8            148.1       3446.911       2979.630         48.000         3078.4         7296.7          22.65              ?        147.000         57.000                  0.000                  14.000           17.0        758.676           43.8        742.650             7.9        704.089          2.303          4.063          6.564          3.273          0.465          0.000          1.693          1.408          0.430          1.258          0.520          0.000         16.041          9.171         13.991          3.056          0.496          0.000            0.000
     11/11/1988           1988         35.000            1.482           -0.104              0.862              -0.204          0.620          0.100           0.000           0.000        591.840        357.630         50.680         70.509          0.000          0.000         20.018        -30.190             1.000             5.918           90.8           70.5            153.2            103.9       3582.810       3123.540         65.000         1756.9         4529.0          10.88              ?        151.000         64.000                  4.000                  18.000           17.3        702.561           19.2        603.136             8.3        654.926          2.320          3.847          6.631          3.456          0.605          0.000          1.290          2.137          0.584          1.340          0.572          0.000          9.925          3.469          2.853          1.405          0.392          0.000            0.000
     11/11/1989           1989         35.000            2.189            0.840              0.894               0.014          1.295          0.826           0.000           0.000        638.310        432.820         49.100         66.945          0.000          0.000         40.177         -8.824             1.000             6.383          120.3          106.0            174.5            144.4       3103.650       2816.010         28.000         1800.7         4423.1          12.94              ?        165.000         70.000                  3.000                  18.000           15.9        703.434           39.9        621.439            32.1        701.359          2.581          3.029          6.060          3.360          0.557          0.000          8.323          5.905          3.383          1.962          0.502          0.000         18.964         10.751          7.152          1.892          0.493          0.000            0.000
