ApsimVersion = 7.8
factors = cultivar=Soy_short;date=15-apr;initNCobs=SoilCobsNew19;Residue_SOM=SOMsoy;WTDepth=600
Title = Cobs-Soy;cultivar=Soy_short;date=15-apr;initNCobs=SoilCobsNew19;Residue_SOM=SOMsoy;WTDepth=600
           Date           year  plant_density AnnualNlossTotal SeasonNlossTotal AnnualNlossProfile SeasonNlossProfilel AnnualNlossAir SeasonNlossAir AnnualNlossTile SeasonNlosstile     AnnualRain     SeasonRain  AnnualAvgTemp  SeasonAvgTemp     AnnualTile     SeasonTile    AnnualDrain    SeasonDrain AnnualNfertilizer AnnualNdeposition AnnualNetMiner SeasonNetMiner AnnualGrossMiner SeasonGrossMiner      AnnualGDD      SeasonGDD SeasonHeatDays      CropYield    CropBiomass       CropNupt       SowingSW    GrowthCycle      FlowerDAS FrostDaysSincePlanting FrostDaysSinceGrainFill   SowingNO3Sum    SowingSWSum  HarvestNO3Sum   HarvestSWSum FloweringNO3Sum FloweringSWSum         SowN30         SowN60         SowN90        SowN120        SowN150        SowN180         FloN30         FloN60         FloN90        FloN120        FloN150        FloN180         HarN30        HarvN60         HarN90        HarN120        HarN150        HarN180 AnnualIrrigation
   (dd/mm/yyyy)         (year)             ()               ()               ()                 ()                  ()             ()             ()              ()              ()           (mm)           (mm)             ()             ()           (mm)           (mm)           (mm)           (mm)                ()                ()        (kg/ha)        (kg/ha)          (kg/ha)          (kg/ha)             ()             ()             ()        (kg/ha)        (kg/ha)        (g/m^2)             ()          (day)         (days)                     ()                      ()        (kg/ha)           (mm)        (kg/ha)           (mm)         (kg/ha)           (mm)             ()             ()             ()             ()             ()             ()             ()             ()             ()             ()             ()             ()             ()             ()             ()             ()             ()             ()             (mm)
     11/11/1980           1980         35.000                ?                ?                  ?                   ?              ?              ?               ?               ?              ?              ?              ?              ?              ?              ?              ?              ?                 ?                 ?              ?              ?                ?                ?              ?              ?              ?              ?              ?              ?              ?              ?              ?                      ?                       ?              ?              ?              ?              ?               ?              ?              ?              ?              ?              ?              ?              ?              ?              ?              ?              ?              ?              ?              ?              ?              ?              ?              ?              ?                ?
     11/11/1981           1981         35.000           10.701            6.811             -0.377              -0.058          7.147          5.581           3.931           1.288        599.700        451.870         50.511         66.946        184.626         89.933       -252.120       -119.424             1.000             5.997          201.0          186.5            225.6            191.4       3119.040       2815.470         28.000         1903.1         4385.1          13.42              ?        166.000         71.000                  3.000                  11.000           22.2        735.577           81.9        749.764            72.7        769.150          9.805          5.334          4.930          1.536          0.096          0.000         33.191         16.382          6.683          0.814          0.036          0.000         43.784         21.695         15.150          0.513          0.018          0.000            0.000
     11/11/1982           1982         35.000           11.387            3.231             -0.389              -0.068          3.544          1.579           8.233           1.720        852.170        562.390         46.688         65.802        360.160        116.195       -272.155       -146.057             1.000             8.522          169.0          164.1            192.0            170.0       2883.870       2750.040         15.000         3166.2         7237.0          22.13              ?        173.000         77.000                  2.000                  12.000           14.5        743.891           50.1        736.096             9.4        723.192          3.065          3.219          6.102          1.664          0.103          0.000          3.860          0.691          0.239          0.669          0.039          0.000         31.594         11.277          5.318          0.901          0.015          0.000            0.000
     11/11/1983           1983         35.000           28.670           10.516             -0.388              -0.066          5.840          2.470          23.218           8.112       1205.960        633.210         50.282         68.502        647.728        332.437       -276.677       -134.504             1.000            12.060          154.8          134.5            181.7            140.9       3293.730       2951.730         64.000         1908.7         5316.0          15.08              ?        156.000         78.000                  6.000                   7.000           13.6        782.385           51.4        688.795            36.8        782.950          2.342          3.060          6.314          1.647          0.103          0.000          5.720          1.469          0.654          0.885          0.039          0.000         32.227         12.041          5.119          0.902          0.017          0.000            0.000
     11/11/1984           1984         35.000           12.734            5.285             -0.394              -0.069          2.350          1.194          10.779           4.161        971.040        557.270         47.181         67.139        423.588        177.147       -309.037       -154.950             1.000             9.710          108.1          101.3            136.4            107.6       3015.540       2836.710         33.000         2951.8         7182.6          21.13              ?        163.000         74.000                  0.000                  11.000           14.5        769.791           25.3        611.174            12.3        728.421          3.739          3.402          5.296          1.651          0.103          0.000          5.046          1.190          0.358          1.081          0.037          0.000         17.497          3.951          2.500          0.347          0.013          0.000            0.000
     11/11/1985           1985         35.000            7.606            0.141             -0.382              -0.069          2.457          0.210           5.531           0.000        652.530        315.970         49.175         68.534        224.398         39.752       -319.755       -163.812             1.000             6.525          131.6          120.6            160.4            126.2       3120.119       2891.340         31.000         3298.1         7200.7          22.52              ?        157.000         64.000                  0.000                   8.000           17.5        731.122           40.1        618.773            15.9        709.640          5.670          4.175          5.575          1.566          0.098          0.000          4.730          1.627          0.437          0.407          0.032          0.000         29.271          7.250          1.991          0.244          0.012          0.000            0.000
     11/11/1986           1986         35.000           21.705            4.972             -0.387              -0.063          5.712          3.030          16.380           2.005       1091.450        732.530         48.344         67.692        525.620        306.335       -250.560       -118.998             1.000            10.914          190.6          176.8            221.9            182.3       3262.950       2857.320         27.000         2810.3         6757.1          20.32              ?        161.000         68.000                  3.000                   8.000           18.9        750.968           52.1        790.785            30.6        733.353          6.129          4.689          5.942          1.653          0.104          0.000          5.042          1.097          0.381          0.786          0.043          0.000         20.814         18.942         10.903          0.347          0.020          0.000            0.000
     11/11/1987           1987         35.000           10.883            5.918             -0.390              -0.063          3.628          2.413           7.645           3.568        866.160        628.920         51.669         70.315        275.948        136.509       -277.563       -131.982             1.000             8.662          189.0          163.4            219.2            168.7       3446.911       2979.630         48.000         3077.3         7291.5          22.65              ?        147.000         57.000                  0.000                  14.000           19.8        773.025           47.6        750.518            23.9        729.678          7.540          5.105          5.146          1.590          0.099          0.000          4.262          1.539          0.487          1.136          0.038          0.000         19.976         11.002         14.943          0.450          0.017          0.000            0.000
     11/11/1988           1988         35.000            6.005            0.276             -0.395              -0.068          1.520          0.344           4.880           0.000        591.840        357.630         50.680         70.509        187.699          0.000       -325.581       -160.259             1.000             5.918          142.2          110.4            166.2            114.8       3582.810       3123.540         65.000         2291.4         6008.1          17.85              ?        151.000         64.000                  4.000                  18.000           18.9        729.265           37.2        651.882            12.0        703.668          6.221          4.521          6.015          1.601          0.097          0.000          5.322          2.279          0.581          0.300          0.031          0.000         21.727          7.355          6.258          0.311          0.012          0.000            0.000
     11/11/1989           1989         35.000            9.201            3.428             -0.373              -0.063          4.134          2.723           5.440           0.768        638.310        432.820         49.100         66.945        234.535         47.217       -280.263       -144.160             1.000             6.383          176.1          158.4            195.8            165.8       3103.650       2816.010         28.000         1737.2         4278.8          12.51              ?        165.000         70.000                  3.000                  18.000           17.7        729.112           72.8        716.592            59.5        729.509          6.078          4.082          5.477          1.536          0.095          0.000         27.906         15.299          6.933          0.830          0.037          0.000         37.654         23.289          9.943          1.214          0.014          0.000            0.000
