ApsimVersion = 7.8
factors = cultivar=Soy_short;date=15-jun;initNCobs=SoilCobsNew40;Residue_SOM=SOMcorn;WTDepth=1200
Title = Cobs-Soy;cultivar=Soy_short;date=15-jun;initNCobs=SoilCobsNew40;Residue_SOM=SOMcorn;WTDepth=1200
           Date           year  plant_density AnnualNlossTotal SeasonNlossTotal AnnualNlossProfile SeasonNlossProfilel AnnualNlossAir SeasonNlossAir AnnualNlossTile SeasonNlosstile     AnnualRain     SeasonRain  AnnualAvgTemp  SeasonAvgTemp     AnnualTile     SeasonTile    AnnualDrain    SeasonDrain AnnualNfertilizer AnnualNdeposition AnnualNetMiner SeasonNetMiner AnnualGrossMiner SeasonGrossMiner      AnnualGDD      SeasonGDD SeasonHeatDays      CropYield    CropBiomass       CropNupt       SowingSW    GrowthCycle      FlowerDAS FrostDaysSincePlanting FrostDaysSinceGrainFill   SowingNO3Sum    SowingSWSum  HarvestNO3Sum   HarvestSWSum FloweringNO3Sum FloweringSWSum         SowN30         SowN60         SowN90        SowN120        SowN150        SowN180         FloN30         FloN60         FloN90        FloN120        FloN150        FloN180         HarN30        HarvN60         HarN90        HarN120        HarN150        HarN180 AnnualIrrigation
   (dd/mm/yyyy)         (year)             ()               ()               ()                 ()                  ()             ()             ()              ()              ()           (mm)           (mm)             ()             ()           (mm)           (mm)           (mm)           (mm)                ()                ()        (kg/ha)        (kg/ha)          (kg/ha)          (kg/ha)             ()             ()             ()        (kg/ha)        (kg/ha)        (g/m^2)             ()          (day)         (days)                     ()                      ()        (kg/ha)           (mm)        (kg/ha)           (mm)         (kg/ha)           (mm)             ()             ()             ()             ()             ()             ()             ()             ()             ()             ()             ()             ()             ()             ()             ()             ()             ()             ()             (mm)
     11/11/1980           1980         35.000                ?                ?                  ?                   ?              ?              ?               ?               ?              ?              ?              ?              ?              ?              ?              ?              ?                 ?                 ?              ?              ?                ?                ?              ?              ?              ?              ?              ?              ?              ?              ?              ?                      ?                       ?              ?              ?              ?              ?               ?              ?              ?              ?              ?              ?              ?              ?              ?              ?              ?              ?              ?              ?              ?              ?              ?              ?              ?              ?                ?
     11/11/1981           1981         35.000            4.316            3.207              0.108              -0.048          3.636          2.683           0.572           0.572        599.700        405.130         50.511         66.104         11.175         11.175        -21.676        -14.984             1.000             5.997          148.5          134.8            200.1            149.3       3119.040       2186.100         23.000         2469.2         4544.9          16.45              ?        132.000         39.000                  0.000                  11.000           49.2        725.131           48.1        717.591            67.2        699.376         13.632         14.452         14.914          4.372          0.683          0.000         12.467         14.084         15.457          3.892          0.541          0.000         25.975         10.637          7.234          3.738          0.388          0.000            0.000
     11/11/1982           1982         35.000           16.583            2.137              0.946              -0.327          2.236          1.122          13.401           1.342        852.170        384.820         46.688         64.707        212.513         20.785         -7.795        -43.845             1.000             8.522          126.5          118.7            171.5            133.3       2883.870       2188.080         14.000         2564.4         4708.8          17.07              ?        143.000         41.000                  0.000                  12.000           30.6        761.315           30.5        732.625            34.0        737.696          4.893          5.430         12.981          5.592          1.046          0.000          4.617          1.712          1.383          4.676          0.858          0.000         15.653          8.002          4.530          1.851          0.339          0.000            0.000
     11/11/1983           1983         35.000           31.058           11.827              1.008              -0.303          3.465          2.490          26.585           9.640       1205.960        650.220         50.282         67.860        456.534        173.846         -9.042        -48.993             1.000            12.060          132.2          123.5            177.4            147.1       3293.730       2714.220         64.000         1716.1         4545.5          12.67              ?        147.000         38.000                  0.000                   7.000           28.2        751.546           51.1        756.242            25.6        709.921          6.462          4.939          9.713          5.404          1.037          0.000          3.780          1.493          0.753          4.789          0.850          0.000         13.005         13.774         21.238          2.606          0.316          0.000            0.000
     11/11/1984           1984         35.000           19.879            3.447              0.896              -0.441          1.605          0.483          17.377           3.405        971.040        337.030         47.181         66.466        294.221         63.606        -39.425        -70.903             1.000             9.710           90.1           85.0            135.1             97.5       3015.540       2373.840         33.000         2528.2         5078.8          17.05              ?        139.000         39.000                  0.000                  11.000           27.3        800.420           26.1        672.866            20.6        697.172          2.977          5.328         12.081          5.529          1.058          0.000          3.600          1.371          0.497          4.186          0.815          0.000         11.202          8.182          4.231          2.064          0.257          0.000            0.000
     11/11/1985           1985         35.000            5.701            0.475              0.299              -0.418          1.676          0.894           3.726           0.000        652.530        406.660         49.175         64.320         60.291          0.000        -49.846        -66.886             1.000             6.525          127.4          111.2            173.0            125.3       3120.119       2160.720         28.000         2670.1         4932.1          17.53              ?        144.000         41.000                  0.000                   8.000           47.1        713.778           28.5        754.107            43.2        684.528         12.151         12.703         15.816          4.849          0.830          0.000          4.065          3.454          0.576          2.796          0.509          0.000         11.854          7.553          7.424          1.335          0.216          0.000            0.000
     11/11/1986           1986         35.000           20.500            8.081              1.387               0.173          4.301          3.247          14.812           4.661       1091.450        642.620         48.344         65.698        318.450        150.632         41.815          4.639             1.000            10.914          153.5          142.7            199.8            151.9       3262.950       2347.650         27.000         2518.5         4894.3          17.19              ?        144.000         37.000                  0.000                   8.000           35.4        747.255           40.5        756.617            45.1        728.255          7.061          6.824         14.226          5.405          1.028          0.000          8.268          5.575          5.112          4.661          0.877          0.000         12.452         10.767         12.831          3.718          0.637          0.000            0.000
     11/11/1987           1987         35.000           13.257            8.857              0.855               0.078          4.178          2.977           8.224           5.802        866.160        555.520         51.669         68.553        156.598        114.133         16.703         -0.810             1.000             8.662          158.9          134.6            211.1            147.6       3446.911       2253.780         31.000         2633.7         4847.5          17.52              ?        120.000         39.000                  0.000                  14.000           50.4        729.506           36.5        713.056            62.4        733.153         12.791         12.312         17.592          4.829          0.894          0.000         12.285         11.861         10.089          4.706          0.725          0.000         19.892          6.935          5.916          2.901          0.579          0.000            0.000
     11/11/1988           1988         35.000            6.288            0.852              0.290              -0.430          2.031          1.282           3.968           0.000        591.840        356.870         50.680         68.796         60.030          0.000        -68.559        -76.162             1.000             5.918          148.3          123.9            193.8            140.7       3582.810       2584.169         52.000         2248.8         4804.8          15.59              ?        134.000         39.000                  0.000                  18.000           52.0        703.900           42.3        691.112            63.3        727.090         14.875         13.667         16.383          4.798          0.797          0.000         10.155          7.651          4.188          4.216          0.502          0.000         22.186         10.669          7.390          1.633          0.187          0.000            0.000
     11/11/1989           1989         35.000            6.549            0.296              0.574              -0.404          1.880          0.700           4.095           0.000        638.310        276.110         49.100         66.726         67.594          0.000        -44.722        -60.108             1.000             6.383          119.9          106.7            169.2            118.8       3103.650       2222.551         24.000         2655.7         4910.8          17.60              ?        129.000         41.000                  0.000                  18.000           38.5        728.574           22.1        663.227            46.0        722.950          6.679          9.250         15.876          4.979          0.924          0.000          6.489          3.388          1.420          3.915          0.705          0.000         12.138          4.331          3.518          1.542          0.254          0.000            0.000
