ApsimVersion = 7.8
factors = cultivar=Soy_short;date=15-may;initNCobs=SoilCobsNew19;Residue_SOM=SOMcorn;WTDepth=600
Title = Cobs-Soy;cultivar=Soy_short;date=15-may;initNCobs=SoilCobsNew19;Residue_SOM=SOMcorn;WTDepth=600
           Date           year  plant_density AnnualNlossTotal SeasonNlossTotal AnnualNlossProfile SeasonNlossProfilel AnnualNlossAir SeasonNlossAir AnnualNlossTile SeasonNlosstile     AnnualRain     SeasonRain  AnnualAvgTemp  SeasonAvgTemp     AnnualTile     SeasonTile    AnnualDrain    SeasonDrain AnnualNfertilizer AnnualNdeposition AnnualNetMiner SeasonNetMiner AnnualGrossMiner SeasonGrossMiner      AnnualGDD      SeasonGDD SeasonHeatDays      CropYield    CropBiomass       CropNupt       SowingSW    GrowthCycle      FlowerDAS FrostDaysSincePlanting FrostDaysSinceGrainFill   SowingNO3Sum    SowingSWSum  HarvestNO3Sum   HarvestSWSum FloweringNO3Sum FloweringSWSum         SowN30         SowN60         SowN90        SowN120        SowN150        SowN180         FloN30         FloN60         FloN90        FloN120        FloN150        FloN180         HarN30        HarvN60         HarN90        HarN120        HarN150        HarN180 AnnualIrrigation
   (dd/mm/yyyy)         (year)             ()               ()               ()                 ()                  ()             ()             ()              ()              ()           (mm)           (mm)             ()             ()           (mm)           (mm)           (mm)           (mm)                ()                ()        (kg/ha)        (kg/ha)          (kg/ha)          (kg/ha)             ()             ()             ()        (kg/ha)        (kg/ha)        (g/m^2)             ()          (day)         (days)                     ()                      ()        (kg/ha)           (mm)        (kg/ha)           (mm)         (kg/ha)           (mm)             ()             ()             ()             ()             ()             ()             ()             ()             ()             ()             ()             ()             ()             ()             ()             ()             ()             ()             (mm)
     11/11/1980           1980         35.000                ?                ?                  ?                   ?              ?              ?               ?               ?              ?              ?              ?              ?              ?              ?              ?              ?                 ?                 ?              ?              ?                ?                ?              ?              ?              ?              ?              ?              ?              ?              ?              ?                      ?                       ?              ?              ?              ?              ?               ?              ?              ?              ?              ?              ?              ?              ?              ?              ?              ?              ?              ?              ?              ?              ?              ?              ?              ?              ?                ?
     11/11/1981           1981         35.000            5.437            1.222             -0.377              -0.045          2.158          1.142           3.657           0.124        599.700        463.040         50.511         66.444        229.464         60.171       -257.053       -123.951             1.000             5.997          142.4          140.1            193.9            165.1       3119.040       2740.320         29.000         3262.5         6713.1          22.20              ?        163.000         52.000                  0.000                  11.000           18.9        728.140           43.7        747.630             5.6        757.217          4.285          6.581          6.101          1.296          0.074          0.000          2.172          1.567          0.517          0.712          0.033          0.000         28.840          9.773          4.721          0.278          0.014          0.000            0.000
     11/11/1982           1982         35.000           12.461            3.383             -0.389              -0.052          1.598          0.879          11.252           2.556        852.170        523.510         46.688         64.393        482.824        142.286       -271.626       -148.421             1.000             8.522          119.1          118.4            163.8            145.8       2883.870       2589.660         14.000         3184.3         6690.7          21.85              ?        174.000         59.000                  0.000                  12.000           13.8        778.568           39.4        768.834             4.4        779.751          1.997          4.115          6.101          1.424          0.079          0.000          3.165          0.752          0.411          0.854          0.038          0.000         20.778         11.864          5.944          0.699          0.011          0.000            0.000
     11/11/1983           1983         35.000           25.255            6.117             -0.388              -0.050          3.074          1.074          22.569           5.094       1205.960        601.460         50.282         71.420        784.056        334.491       -282.066       -132.454             1.000            12.060           98.0           89.6            155.0            121.1       3293.730       2953.890         64.000         2023.4         5449.3          15.55              ?        138.000         55.000                  0.000                   7.000           11.4        755.779           42.7        714.121             5.2        751.600          1.554          2.805          5.115          1.405          0.079          0.000          1.584          1.485          0.501          0.994          0.037          0.000         18.779         13.474          8.852          0.716          0.014          0.000            0.000
     11/11/1984           1984         35.000           15.174            4.033             -0.393              -0.054          1.541          0.403          14.027           3.684        971.040        497.320         47.181         68.708        548.242        138.072       -305.746       -153.188             1.000             9.710           79.4           78.2            132.7            110.1       3015.540       2815.110         33.000         2671.6         6448.7          18.81              ?        150.000         52.000                  0.000                  11.000           12.1        735.132           28.1        657.948             6.6        718.736          1.693          2.656          5.763          1.415          0.079          0.000          2.119          1.084          0.353          0.811          0.036          0.000         15.630          7.848          3.466          0.389          0.011          0.000            0.000
     11/11/1985           1985         35.000            8.036            1.942             -0.380              -0.053          1.751          1.285           6.665           0.710        652.530        460.000         49.175         64.548        284.345         34.938       -305.191       -180.960             1.000             6.525          108.1          105.3            153.0            127.8       3120.119       2644.380         31.000         3197.6         6844.4          22.43              ?        175.000         55.000                  0.000                   8.000           17.6        732.427           41.6        751.138             5.6        699.465          3.231          6.030          6.386          1.327          0.074          0.000          1.909          1.715          0.482          0.654          0.029          0.000         15.722         12.941         12.521          0.290          0.007          0.000            0.000
     11/11/1986           1986         35.000           18.116            7.632             -0.386              -0.047          3.116          2.020          15.387           5.659       1091.450        686.050         48.344         67.215        628.818        285.110       -248.886       -116.049             1.000            10.914          146.5          143.2            197.1            163.9       3262.950       2766.330         28.000         3425.3         6803.1          22.68              ?        159.000         53.000                  0.000                   8.000           15.3        791.682           39.1        750.760             6.6        779.688          1.765          4.213          7.775          1.409          0.080          0.000          3.421          1.023          1.410          0.889          0.039          0.000         12.897         11.866         13.479          0.441          0.016          0.000            0.000
     11/11/1987           1987         35.000            9.872            4.136             -0.385              -0.044          2.498          1.710           7.759           2.471        866.160        650.760         51.669         69.630        421.559        186.604       -253.934       -111.597             1.000             8.662          150.3          139.3            202.7            169.0       3446.911       2881.980         41.000         2783.3         6347.7          19.61              ?        147.000         48.000                  0.000                  14.000           21.3        728.784           47.0        734.939            10.8        731.816          5.935          6.209          6.828          1.349          0.077          0.000          3.827          0.780          0.292          0.727          0.037          0.000         27.738         10.367          7.854          0.713          0.016          0.000            0.000
     11/11/1988           1988         35.000            7.353            0.633             -0.391              -0.051          1.556          0.684           6.188           0.000        591.840        379.220         50.680         72.917        240.040          0.000       -302.497       -145.960             1.000             5.918          109.5           94.2            160.1            120.1       3582.810       3093.840         65.000         2288.2         5827.7          17.19              ?        136.000         48.000                  0.000                  18.000           17.7        731.911           41.5        726.849             8.0        686.095          3.369          5.645          6.346          1.356          0.075          0.000          2.075          1.506          0.519          0.567          0.032          0.000         19.255         11.970          8.829          0.367          0.011          0.000            0.000
     11/11/1989           1989         35.000            7.457            1.167             -0.376              -0.051          1.087          0.403           6.747           0.814        638.310        397.520         49.100         66.669        296.320         41.404       -313.243       -167.853             1.000             6.383           95.2           91.9            145.1            120.0       3103.650       2715.301         26.000         3030.0         6757.2          21.10              ?        159.000         53.000                  0.000                  18.000           16.3        733.038           34.4        680.164             6.3        715.322          2.911          5.194          6.217          1.305          0.073          0.000          2.706          1.219          0.367          0.947          0.031          0.000         19.884          8.561          5.369          0.373          0.008          0.000            0.000
     11/11/1990           1990         35.000           15.937            7.338             -0.383              -0.041          2.394          0.679          13.926           6.700        998.533        608.153         49.689         71.093        572.610        261.665       -243.814        -92.892             1.000             9.985          152.6          139.9            206.6            168.9       3276.134       2848.350         41.000         2297.8         6129.7          17.72              ?        136.000         53.000                  0.000                  14.000           14.0        787.897           58.1        731.202             7.2        761.981          1.548          3.828          7.233          1.384          0.078          0.000          2.418          0.789          1.275          0.875          0.039          0.000         39.009         10.560          6.997          0.572          0.021          0.000            0.000
     11/11/1991           1991         35.000           15.057            1.464             -0.392              -0.050          1.356          0.405          14.093           1.109        821.349        239.695         50.164         74.525        530.380         46.142       -313.024       -125.889             1.000             8.213           90.4           74.5            146.6             99.3       3619.281       2967.560         55.000         2676.5         6466.8          19.37              ?        122.000         43.000                  0.000                  20.000           12.1        750.064           18.7        612.808            10.5        725.324          1.608          2.582          6.096          1.414          0.079          0.000          2.072          1.514          0.465          1.080          0.039          0.000         10.873          3.438          2.917          0.314          0.015          0.000            0.000
     11/11/1992           1992         35.000           12.707            2.139             -0.381              -0.044          1.264          0.431          11.824           1.752        879.812        499.312         49.338         63.111        615.732        226.585       -244.685       -116.297             1.000             8.798          115.2          109.9            162.6            142.9       2533.040       2249.294         11.000         3671.9         6533.8          24.47              ?        166.000         57.000                  0.000                  14.000           15.3        729.344           24.1        735.480             4.7        752.058          3.806          3.235          6.085          1.366          0.076          0.000          1.383          0.422          0.466          0.777          0.033          0.000         16.205          4.539          2.627          0.411          0.015          0.000            0.000
     11/11/1993           1993         35.000           17.700            7.260             -0.369              -0.044          2.298          1.769          15.771           5.534       1370.990        965.206         46.812         65.076        861.319        417.050       -239.764       -113.499             1.000            13.710          130.8          130.4            173.5            157.8       2849.719       2609.465         31.000         2569.5         5604.3          17.68              ?        169.000         59.000                  0.000                  17.000           11.8        767.060           38.3        744.339             4.8        794.821          1.304          2.926          5.830          1.362          0.077          0.000          2.347          0.723          1.001          0.815          0.036          0.000         22.195          9.760          5.860          0.421          0.016          0.000            0.000
