ApsimVersion = 7.8
factors = cultivar=Soy_short;date=15-may;initNCobs=SoilCobsNew19;Residue_SOM=SOMsoy;WTDepth=1200
Title = Cobs-Soy;cultivar=Soy_short;date=15-may;initNCobs=SoilCobsNew19;Residue_SOM=SOMsoy;WTDepth=1200
           Date           year  plant_density AnnualNlossTotal SeasonNlossTotal AnnualNlossProfile SeasonNlossProfilel AnnualNlossAir SeasonNlossAir AnnualNlossTile SeasonNlosstile     AnnualRain     SeasonRain  AnnualAvgTemp  SeasonAvgTemp     AnnualTile     SeasonTile    AnnualDrain    SeasonDrain AnnualNfertilizer AnnualNdeposition AnnualNetMiner SeasonNetMiner AnnualGrossMiner SeasonGrossMiner      AnnualGDD      SeasonGDD SeasonHeatDays      CropYield    CropBiomass       CropNupt       SowingSW    GrowthCycle      FlowerDAS FrostDaysSincePlanting FrostDaysSinceGrainFill   SowingNO3Sum    SowingSWSum  HarvestNO3Sum   HarvestSWSum FloweringNO3Sum FloweringSWSum         SowN30         SowN60         SowN90        SowN120        SowN150        SowN180         FloN30         FloN60         FloN90        FloN120        FloN150        FloN180         HarN30        HarvN60         HarN90        HarN120        HarN150        HarN180 AnnualIrrigation
   (dd/mm/yyyy)         (year)             ()               ()               ()                 ()                  ()             ()             ()              ()              ()           (mm)           (mm)             ()             ()           (mm)           (mm)           (mm)           (mm)                ()                ()        (kg/ha)        (kg/ha)          (kg/ha)          (kg/ha)             ()             ()             ()        (kg/ha)        (kg/ha)        (g/m^2)             ()          (day)         (days)                     ()                      ()        (kg/ha)           (mm)        (kg/ha)           (mm)         (kg/ha)           (mm)             ()             ()             ()             ()             ()             ()             ()             ()             ()             ()             ()             ()             ()             ()             ()             ()             ()             ()             (mm)
     11/11/1980           1980         35.000                ?                ?                  ?                   ?              ?              ?               ?               ?              ?              ?              ?              ?              ?              ?              ?              ?                 ?                 ?              ?              ?                ?                ?              ?              ?              ?              ?              ?              ?              ?              ?              ?                      ?                       ?              ?              ?              ?              ?               ?              ?              ?              ?              ?              ?              ?              ?              ?              ?              ?              ?              ?              ?              ?              ?              ?              ?              ?              ?                ?
     11/11/1981           1981         35.000            1.593            1.037             -0.218              -0.111          1.811          1.148           0.000           0.000        599.700        463.040         50.511         66.444          0.000          0.000       -113.921        -78.376             1.000             5.997          204.2          187.5            220.1            190.1       3119.040       2740.320         29.000         3208.7         6625.3          21.80              ?        163.000         52.000                  0.000                  11.000           38.8        697.176           57.3        721.217            38.7        716.430         17.960          8.876          8.169          2.744          0.222          0.000          7.598          3.560          0.961          0.899          0.127          0.000         37.378         11.809          7.305          0.630          0.056          0.000            0.000
     11/11/1982           1982         35.000            5.795            2.725              0.263              -0.151          2.321          1.721           3.210           1.155        852.170        523.510         46.688         64.393         92.918         30.782        -35.302        -56.979             1.000             8.522          179.1          170.8            190.3            172.9       2883.870       2589.660         14.000         3365.1         7041.0          23.08              ?        174.000         59.000                  0.000                  12.000           27.5        760.470           48.7        720.526            19.2        748.822          9.750          5.767          8.114          2.689          0.477          0.000          4.985          0.829          0.305          2.193          0.383          0.000         26.746         13.651          6.868          1.204          0.120          0.000            0.000
     11/11/1983           1983         35.000           21.435            9.746              0.370              -0.101          5.359          2.716          15.706           7.131       1205.960        601.460         50.282         71.420        325.442        171.427        -30.091        -45.014             1.000            12.060          151.9          134.0            174.6            138.4       3293.730       2953.890         64.000         2076.6         5565.8          16.04              ?        138.000         55.000                  0.000                   7.000           22.5        743.618           55.8        658.690            23.8        746.940          6.416          4.451          7.937          2.756          0.484          0.000          5.039          1.788          0.649          2.141          0.381          0.000         27.643         17.898          7.550          1.478          0.168          0.000            0.000
     11/11/1984           1984         35.000            9.763            4.012              0.259              -0.168          2.917          1.401           6.587           2.780        971.040        497.320         47.181         68.708        171.101         61.550        -79.976        -81.933             1.000             9.710          124.0          116.3            144.8            121.2       3015.540       2815.110         33.000         2720.0         6517.9          18.90              ?        150.000         52.000                  0.000                  11.000           22.9        729.774           36.5        616.762            22.8        705.261          6.218          4.782          7.986          2.691          0.482          0.000          4.368          1.454          0.467          1.229          0.352          0.000         22.062          9.433          2.452          1.559          0.120          0.000            0.000
     11/11/1985           1985         35.000            2.793            1.464              0.003              -0.223          2.057          1.687           0.733           0.000        652.530        460.000         49.175         64.681         24.940          0.000       -126.692       -132.901             1.000             6.525          159.6          141.6            170.3            143.3       3120.119       2644.380         31.000         2979.1         6451.1          20.72              ?        174.000         55.000                  0.000                   8.000           37.7        702.351           51.5        725.175            25.3        654.509         17.436          8.019          8.631          2.345          0.382          0.000          6.126          3.326          0.601          1.176          0.179          0.000         19.667         15.679         14.627          1.299          0.070          0.000            0.000
     11/11/1986           1986         35.000           12.686            7.910              0.429               0.012          5.432          3.850           6.825           4.048       1091.450        686.050         48.344         67.215        192.237        143.533         14.877        -12.850             1.000            10.914          204.6          188.6            219.5            189.9       3262.950       2766.330         28.000         3435.7         6821.3          22.75              ?        159.000         53.000                  0.000                   8.000           32.8        785.518           46.8        750.482            39.8        780.188         10.823          8.790          9.547          2.562          0.471          0.000          7.235          2.143          2.114          2.328          0.401          0.000         14.904         13.679         15.856          1.579          0.230          0.000            0.000
     11/11/1987           1987         35.000            6.452            5.687              0.073              -0.054          4.455          3.826           1.924           1.915        866.160        650.760         51.669         69.630         69.422         69.422        -28.366        -27.454             1.000             8.662          217.9          191.6            235.8            195.7       3446.911       2881.980         41.000         2775.9         6338.2          19.56              ?        147.000         48.000                  0.000                  14.000           42.3        707.051           61.2        731.076            59.6        706.811         20.510          8.997          8.618          2.243          0.348          0.000         15.605          9.402          5.748          2.279          0.237          0.000         33.367         13.102         13.031          1.116          0.165          0.000            0.000
     11/11/1988           1988         35.000            3.510            1.046              0.034              -0.195          2.075          1.241           1.401           0.000        591.840        379.220         50.680         72.917         41.846          0.000       -128.137       -109.427             1.000             5.918          172.1          140.5            189.0            143.4       3582.810       3093.840         65.000         2091.9         5349.3          15.59              ?        136.000         48.000                  0.000                  18.000           36.2        699.236           57.3        696.113            48.6        652.983         15.089          7.534          8.917          2.784          0.356          0.000          6.898          5.064          0.905          0.971          0.180          0.000         27.806         15.869         10.651          1.498          0.085          0.000            0.000
     11/11/1989           1989         35.000            2.436            0.889              0.101              -0.197          1.753          1.085           0.583           0.000        638.310        397.520         49.100         66.669         18.896          0.000       -108.542       -105.159             1.000             6.383          143.3          129.0            159.8            133.0       3103.650       2715.301         26.000         2949.5         6626.1          19.96              ?        159.000         53.000                  0.000                  18.000           31.9        708.569           39.1        624.263            26.6        683.406         13.279          6.973          7.896          2.344          0.400          0.000          5.460          1.798          0.471          0.849          0.240          0.000         24.693          8.707          3.960          1.400          0.091          0.000            0.000
